city;month;Visualization;Unique pages;Visits;Average time(s);Numbers of restaurants;Sustainable restaurants;Clicks on sustainable rest.;Likes
Napoli;3;136.879;89.157;15740;21;4195;63;515;267
Napoli;4;85.642;54.305;10550;21;4195;63;353;157
Napoli;5;93.989;61.044;11029;21;4195;63;413;141
Roma;3;249.897;168.616;21588;22;16261;620;231;1558
Roma;4;198.936;132.345;12651;22;16261;620;332;1274
Roma;5;173.959;115.864;13953;21;16261;620;243;1106
Milano;3;164.16;115.044;21588;20;11307;485;321;1014
Milano;4;89.748;61.282;12651;20;11307;485;353;550
Milano;5;98.681;67.529;13953;20;11307;485;222;658
Bologna;3;104.996;64.42;10215;2;2596;122;625;515
Bologna;4;79.255;47.588;7683;2;2596;122;327;353
Bologna;5;80.914;49.484;7992;22;2596;122;364;325